catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	extract	date	source
KU	302673	CDS	591	Gekko	cf. mindorensis	Philippines	Caluya/Semirara	True	2000-11-14	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302672	CDS	590	Gekko	cf. mindorensis	Philippines	Caluya/Semirara	True	2000-11-14	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302675	CDS	593	Gekko	cf. mindorensis	Philippines	Semirara	False	2000-11-14	ku_gekkonid_tissues.txt
KU	302674	CDS	592	Gekko	cf. mindorensis	Philippines	Semirara	False	2000-11-14	ku_gekkonid_tissues.txt
KU	302676	CDS	594	Gekko	cf. mindorensis	Philippines	Semirara	False	2000-11-14	ku_gekkonid_tissues.txt
KU	329361	DSM	1649	Lepidodactylus	lugubris	Philippines	Luzon	False	2011-05-27	ku_gekkonid_tissues.txt
KU	303890	ELR	625	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303891	ELR	626	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303892	ELR	627	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303893	ELR	628	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303894	ELR	629	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	307487	RMB	6150	Hemidactylus	frenatus	Philippines	Luzon	False	2006-07-10	ku_gekkonid_tissues.txt
KU	329341	RMB	13855	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-06-07	ku_gekkonid_tissues.txt
KU	305844	CDS	1781	Hemidactylus	frenatus	Philippines	Samar	False	2006-06-14	ku_gekkonid_tissues.txt
		ACD	3020	Gekko				True		gekkonid_lab_work.txt
KU	326503	RMB	2893	Cyrtodactylus	annulatus	Philippines	Bohol	False	2000-12-20	ku_gekkonid_tissues.txt
KU	305552	CDS	1783	Cosymbotus	platyurus	Philippines	Samar	False	2006-06-14	ku_gekkonid_tissues.txt
KU	326435	RMB	4392	Pseudogekko	compressicorpus	Philippines	Leyte	False	2002-09-03	ku_gekkonid_tissues.txt
