catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	4463	LSUHC	4463	Cyrtodactylus	consobrinus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	434	LSUHC	434	Ptychozoon	kuhli	Malaysia			Malaysia, Sarawak, Matang				False		LSUHC_geckos.txt
LSUHC	5165	LSUHC	5165	Gekko	smithii	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	5164	LSUHC	5164	Gekko	smithii	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar			P-227-B3	False		LSUHC_geckos.txt
LSUHC	5163	LSUHC	5163	Gekko	smithii	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	5162	LSUHC	5162	Gekko	smithii	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	5161	LSUHC	5161	Gekko	smithii	West Malaysia	Pulau Perhentian Besar		West Malaysia, Terengganu, Pulau Perhentian Besar				False		LSUHC_geckos.txt
LSUHC	5607	LSUHC	5607	Gekko	monarchus	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	4475	LSUHC	4475	Cyrtodactylus	pantiensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4889	LSUHC	4889	Cyrtodactylus	pubisulcus	East Malaysia			East Malaysia, Sarawak, Gunung Gading				False		LSUHC_geckos.txt
LSUHC	175	LSUHC	175	Gekko	monarchus	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
LSUHC	6316	LSUHC	6316	Cyrtodactylus	pulchellus	West Malaysia	Pulau Pinang		West Malaysia, Penang, Pulau Pinang, Air Terjun Titi Kerawang				False		LSUHC_geckos.txt
LSUHC	6311	LSUHC	6311	Cyrtodactylus	majula	Singapore			Singapore, Nee Soon Swamp				False		LSUHC_geckos.txt
LSUHC	6310	LSUHC	6310	Cyrtodactylus	majula	Singapore			Singapore, Nee Soon Swamp				False		LSUHC_geckos.txt
LSUHC	5767	LSUHC	5767	Cyrtodactylus	quadrivirgatus	West Malaysia			West Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	6312	LSUHC	6312	Cyrtodactylus	majula	Singapore			Singapore, Nee Soon Swamp				False		LSUHC_geckos.txt
LSUHC	5365	LSUHC	5365	Cyrtodactylus	durio	Malaysia			Malaysia, Kedah, Sungai Sedim				False		LSUHC_geckos.txt
