catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	tissue_sample.found	tissue_sample.material	tissue_sample.preservative	tissue_sample.tube_data	tissue_sample.notes	extraction.protocol	extraction.rnase	extraction.qubit	extraction.notes	extraction.gel_lane	extraction.plate	extraction.row	extraction.column	extraction.dilution	cam_extract	cam_extract_cell	date	source
		PNM/CMNH H	1293	Cyrtodactylus	annulatus	Philippines	Mindanao		Davao City Province; Municipality of Calinan; Barangay Malagos; Malagos Eagle Station			J-143-D7	True	liver	frozen	{}		guanidine thiocyanate	True	62.4		20	1	G	2	5.0	False			ku_freezer.txt
KU	302729	CDS	63	Gekko	mindorensis	Philippines	Panay	Visayan	Capiz Province; Municipality of Pilar; Barangay Natividad			E-74-47	True	liver	etoh	{}		guanidine thiocyanate	True	760.0		298	3	E	4	5.0	False		2000-09-10	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302730	CDS	64	Gekko	mindorensis	Philippines	Panay	Visayan	Capiz Province; Municipality of Pilar; Barangay Natividad			E-74-48	True	liver	etoh	{}		guanidine thiocyanate	True	421.0		299	3	F	4	5.0	True	E2	2000-09-10	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302731	CDS	65	Gekko	mindorensis	Philippines	Panay	Visayan	Capiz Province; Municipality of Pilar; Barangay Natividad			E-74-49	True	liver	etoh	{}		guanidine thiocyanate	True	314.0		300	3	G	4	5.0	True	F6	2000-09-10	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302732	CDS	66	Gekko	mindorensis	Philippines	Panay	Visayan	Capiz Province; Municipality of Pilar; Barangay Natividad			E-74-50	True	liver	etoh	{}		guanidine thiocyanate	True	451.0		301	3	H	4	5.0	True	F7	2000-09-10	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	306612	RMB	6455	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-150-E6	True	liver	etoh	{}		guanidine thiocyanate	True	247.0		138	2	C	1	5.0	False		2006-10-03	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323189	RMB	12834	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C5	True	liver	etoh	{}		guanidine thiocyanate	True	167.0		88	1	D	8	5.0	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323190	RMB	12835	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C6	True	liver	etoh	{}		guanidine thiocyanate	True	52.0		89	1	E	8	5.0	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323191	RMB	12836	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C7	True	liver	etoh	{}		guanidine thiocyanate	True	292.0		90	1	F	8	5.0	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323192	RMB	12837	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C8	True	liver	etoh	{}		guanidine thiocyanate	True	91.8		91	1	G	8	5.0	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
