box	cell	catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	date	source
287	H3	KU	314018	RMB	9574	Lepidodactylus	balioburius	Philippines	Sabtang	Batanes	Batanes Province; Municipality of Sabtang; Barangay Chavayan			T-287-H3	False	2008-06-07	ku_gekkonid_tissues.txt
287	H4	KU	313983	RMB	9575	Gekko	porosus	Philippines	Batan	Batanes	Batanes Province; Municipality of Ivana; Barangay Salagao, Sitio Imnadyed			T-287-H4	False	2008-06-08	ku_freezer.txt/ku_gekkonid_tissues.txt
60	15	KU	302686	CDS	102	Gekko	mindorensis	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Guinsiliban; Barangay Cabuan			D-60-15	True	2000-10-05	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
287	H7	KU	313985	RMB	9578	Gekko	porosus	Philippines	Batan	Batanes	Batanes Province; Municipality of Ivana; Barangay Salagao, Sitio Imnadyed			T-287-H7	False	2008-06-09	ku_freezer.txt/ku_gekkonid_tissues.txt
60	14	KU	302685	CDS	101	Gekko	mindorensis	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Guinsiliban; Barangay Cabuan			D-60-14	True	2000-10-05	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
270	B1			SP	6906	Cyrtodactylus	baluensis	Malaysia	Kinabalu		Mt. Kinabalu Park; Kinabalu headquarters; ; CDS3539			R-270-B1	True		ku_freezer.txt/gekkonid_lab_work.txt
368	I7	KU	325816	RMB	13510	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Nueva Vizcaya Province; Municipality of Quezon; Barangay Maddiangat, Sitio Upper Dayog	16.4620000	121.2200000	Y-368-I7	False	2010-01-14	ku_freezer.txt/ku_gekkonid_tissues.txt
111	H1	KU	304846	RMB	5967	Luperosaurus	macgregori	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-H1	False	2006-03-14	ku_freezer.txt/ku_gekkonid_tissues.txt
111	G9	KU	304845	RMB	5966	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-G9	False	2006-03-14	ku_freezer.txt/ku_gekkonid_tissues.txt
338	G7	KU	324366	CDS	4485	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	W-338-G7	False	2009-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
