catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	cam_extract_cell	date	source
KU	304800	RMB	5921	Luperosaurus	macgregori	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-C1	False		2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	308560	ELR	1018	Gekko	gecko	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Paluan; Barangay Harrison, Sitio Ulasan, Local Name " Matingaram"	13.4630556	120.4122222	L-177-E9	False		2007-01-08	ku_gekkonid_tissues.txt
KU	305567	CDS	1768	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan	Cebu Province; Municipality of Alcoy; Barangay Nug-as, CBCF field station	9.7111900	123.4488400	H-118-G1	False		2006-06-11	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304801	RMB	5922	Luperosaurus	macgregori	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-C2	False		2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320384	CDS	3838	Gekko	mindorensis	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-312-C5	False			ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	5599	LSUHC	5599	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
KU	304805	RMB	5926	Luperosaurus	macgregori	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-C5	False		2006-03-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302644	CDS	1560	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-H2	False		2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
		NOID		Cyrtodactylus	baluensis	Malaysia	Borneo		Sabah			R-259-I3	False			ku_freezer.txt
LSUHC	2290	LSUHC	2290	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False			LSUHC_geckos.txt
LSUHC	2291	LSUHC	2291	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False			LSUHC_geckos.txt
KU	302645	CDS	1566	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-H8	False		2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	977	LSUHC	977	Cyrtodactylus	aurensis	Malaysia	Pulau Aur		Malaysia, Johor, Pulau Aur, Kampung Berhala				False			LSUHC_geckos.txt
KU	323189	RMB	12834	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C5	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323190	RMB	12835	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C6	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323191	RMB	12836	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C7	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323192	RMB	12837	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C8	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	303956	ELR	390	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay, Batulai, Mt. Siburan	13.7955000	120.1596500	H-114-E1	True	I2	2006-02-15	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	303957	ELR	391	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay, Batulai, Mt. Siburan	13.7955000	120.1596500	H-114-E2	False		2006-02-15	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	303958	ELR	393	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay, Batulai, Mt. Siburan	13.7955000	120.1596500	H-114-E4	False		2006-02-15	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	3165	LSUHC	3165	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Dat				False			LSUHC_geckos.txt
LSUHC	3164	LSUHC	3164	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Dat				False			LSUHC_geckos.txt
LSUHC	3167	LSUHC	3167	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Son				False			LSUHC_geckos.txt
LSUHC	3166	LSUHC	3166	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Son				False			LSUHC_geckos.txt
LSUHC	3161	LSUHC	3161	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False			LSUHC_geckos.txt
LSUHC	3160	LSUHC	3160	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False			LSUHC_geckos.txt
LSUHC	3163	LSUHC	3163	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False			LSUHC_geckos.txt
LSUHC	3162	LSUHC	3162	Cyrtodactylus	grismeri	Vietnam			Vietnam, Tuc Dup Hill				False			LSUHC_geckos.txt
LSUHC	3225	LSUHC	3225	Gekko	palmatus	Vietnam			Vietnam, Tom Dao				False			LSUHC_geckos.txt
LSUHC	5630	LSUHC	5630	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
LSUHC	3169	LSUHC	3169	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Son				False			LSUHC_geckos.txt
LSUHC	3168	LSUHC	3168	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Son				False			LSUHC_geckos.txt
