field_series	field_number	genus	epithet	country	island	paic
RMB	14954	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14956	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14895	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14902	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14900	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14901	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14899	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14885	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14884	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14883	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14890	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14453	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14310	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14249	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14248	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	14180	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13965	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13964	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13966	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13961	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13963	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13962	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13938	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13902	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13901	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
RMB	13900	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon
