taxa	H	E
RMB_5185_Cyrtodactylus_philippinicus_Sibuyan.trimmed	0.00514925	0.00035064	
RMB_6259_Cyrtodactylus_philippinicus_Polillo.trimmed	0.00596311	0.00040623	
CDS_3935_Gekko_mindorensis_Lubang.trimmed	0.00554286	0.00035808	
RMB_8790_Cyrtodactylus_philippinicus_Tablas.trimmed	0.00520803	0.00042531	
RMB_12536_Gehyra_mutilata_Luzon.trimmed	0.00641264	0.00042273	
KUFS_17_Gekko_chinensis_China.trimmed	0.00669357	0.00041076	
RMB_6628_Cyrtodactylus_philippinicus_Mindoro.trimmed	0.00593743	0.00037411	
CDS_1442_Cyrtodactylus_philippinicus_Sibuyan.trimmed	0.00528259	0.00037042	
RMB_6455_Cyrtodactylus_philippinicus_Mindoro.trimmed	0.0050281	0.00034037	
RMB_6447_Cyrtodactylus_philippinicus_Mindoro.trimmed	0.00538482	0.00033732	
CDS_609_Gekko_mindorensis_Caluya.trimmed	0.00634271	0.00042935	
RMB_7828_Gekko_athymus_Palawan.trimmed	0.00595238	0.00041967	
KUFS_16_Gekko_chinensis_China.trimmed	0.00675443	0.00037024	
RMB_8761_Cyrtodactylus_philippinicus_Tablas.trimmed	0.00549784	0.0003671	
RMB_7647_Cyrtodactylus_tautbatorum_Palawan.trimmed	0.00616566	0.00036369	
RMB_5969_Gekko_crombota_BabuyanClaro.trimmed	0.00614487	0.00047984	
RMB_7859_Cyrtodactylus_redimiculus_Palawan.trimmed	0.00587694	0.00045661	
RMB_13764_Gekko_gecko_Luzon.trimmed	0.00808627	0.00041321	
CDS_99_Gekko_mindorensis_CamiguinSur.trimmed	0.00642153	0.00040562	
CDS_102_Gekko_mindorensis_CamiguinSur.trimmed	0.00617468	0.00038316	
CDS_2844_Cyrtodactylus_sumuroi_Samar.trimmed	0.00724486	0.00044199	
CDS_173_Cyrtodactylus_philippinicus_Panay.trimmed	0.00564303	0.00045907	
CDS_100_Gekko_mindorensis_CamiguinSur.trimmed	0.00451981	0.00051522	
