catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
LSUHC	4813	LSUHC	4813	Gekko	smithii	West Malaysia	
LSUHC	4814	LSUHC	4814	Gekko	smithii	West Malaysia	
LSUHC	4815	LSUHC	4815	Gekko	smithii	West Malaysia	
LSUHC	4816	LSUHC	4816	Gekko	smithii	West Malaysia	
LSUHC	4817	LSUHC	4817	Gekko	smithii	West Malaysia	
LSUHC	3450	LSUHC	3450	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi
LSUHC	3451	LSUHC	3451	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi
LSUHC	3452	LSUHC	3452	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi
LSUHC	3453	LSUHC	3453	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi
LSUHC	3454	LSUHC	3454	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi
LSUHC	5152	LSUHC	5152	Ptychozoon	kuhli	West Malaysia	Pulau Perhentian Besar
LSUHC	5153	LSUHC	5153	Ptychozoon	kuhli	West Malaysia	Pulau Perhentian Besar
LSUHC	4308	LSUHC	4308	Ptychozoon	kuhli	West Malaysia	Pulau Perhentian Besar
LSUHC	6182	LSUHC	6182	Ptychozoon	kuhli	West Malaysia	Pulau Tioman
LSUHC	6184	LSUHC	6184	Ptychozoon	kuhli	West Malaysia	Pulau Tioman
LSUHC	434	LSUHC	434	Ptychozoon	kuhli	Malaysia	
LSUHC	435	LSUHC	435	Ptychozoon	kuhli	Malaysia	
LSUHC	436	LSUHC	436	Ptychozoon	kuhli	Malaysia	
LSUHC	437	LSUHC	437	Ptychozoon	kuhli	Malaysia	
LSUHC	5946	LSUHC	5946	Ptychozoon	kuhli	West Malaysia	
LSUHC	5947	LSUHC	5947	Ptychozoon	kuhli	West Malaysia	
LSUHC	6008	LSUHC	6008	Ptychozoon	kuhli	West Malaysia	
LSUHC	6009	LSUHC	6009	Ptychozoon	kuhli	West Malaysia	
LSUHC	4549	LSUHC	4549	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar
LSUHC	4550	LSUHC	4550	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar
LSUHC	4293	LSUHC	4293	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar
LSUHC	4294	LSUHC	4294	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar
LSUHC	4295	LSUHC	4295	Ptychozoon	lionotum	West Malaysia	Pulau Perhentian Besar
LSUHC	5741	LSUHC	5741	Ptychozoon	lionotum	West Malaysia	Pulau Pinang
LSUHC	5742	LSUHC	5742	Ptychozoon	lionotum	West Malaysia	Pulau Pinang
LSUHC	5743	LSUHC	5743	Ptychozoon	lionotum	West Malaysia	Pulau Pinang
LSUHC	5744	LSUHC	5744	Ptychozoon	lionotum	West Malaysia	Pulau Pinang
LSUHC	6192	LSUHC	6192	Ptychozoon	lionotum	West Malaysia	Pulau Sibu
LSUHC	1	LSUHC	1	Ptychozoon	lionotum	Malaysia	Pulau Tioman
LSUHC	2	LSUHC	2	Ptychozoon	lionotum	Malaysia	Pulau Tioman
